"","BKNG_ID","AGE","NBR_CRUISES","GROUP_TYPEF","GROUP_TYPEG","GROUP_TYPEI","GROUP_TYPEK","GROUP_TYPEQ","GROUP_TYPEUnknown","BKNG_STATUS","AIR_FLAGL","AIR_FLAGN","AIR_FLAGUnknown","AIR_FLAGY","BKNG_SOURCEAGENCY","BKNG_SOURCEDIRECT","BKNG_TYPEFIT","BKNG_TYPEGROUP","GENDERF","GENDERM","GENDERUnknown","DINING_TIME_CODE1","DINING_TIME_CODE2","DINING_TIME_CODEP","METAD","METAF","METAI","METAO","METAS","METAV","NET_TKT_REV","US_Citizen","Insurance_purchased","Resident_or_Immigrant","USD_Payment"
"49",49,63,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,129.65,1,1,1,1
"50",50,49,0,0,1,0,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,232.23,1,1,1,1
"51",51,33,1,0,1,0,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,124.23,1,1,1,1
"52",52,56,4,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,19.4,1,1,1,1
"53",53,33,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,204.47,0,1,0,1
"54",54,77,2,0,0,0,0,0,1,"C",0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,151.53,1,1,1,1
"55",55,47,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,130.74,1,1,1,1
"56",56,55,2,0,0,0,0,0,1,"C",0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,838.31,1,1,1,1
"57",57,57,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,148.18,1,1,1,1
"58",58,74,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,163.32,1,1,1,1
"59",59,53,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,237.65,1,1,1,1
"60",60,49,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
"61",61,47,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,411.65,0,1,0,1
"62",62,51,1,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,147.11,1,1,1,1
"63",63,59,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,142.92,1,1,1,1
"64",64,55,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,259.28,1,1,0,1
"65",65,52,1,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,147.11,1,0,1,1
"66",66,33,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,261.4,1,1,0,1
"67",67,55,0,0,0,1,0,0,0,"B",0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,90.97,1,1,0,1
"68",68,33,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,218.54,1,1,0,1
"69",69,68,0,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,147.11,1,0,1,1
"70",70,84,1,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,129.65,1,1,1,1
"71",71,85,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,318.54,1,1,1,1
"72",72,58,4,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,134.01,1,1,1,1
"73",73,59,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,283.51,1,1,1,1
"74",74,83,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,351.24,0,1,0,0
"75",75,33,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,240.98,1,1,0,1
"76",76,32,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,129.65,1,1,0,1
"77",77,58,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,318.54,1,1,0,1
"78",78,49,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,176.58,1,1,1,1
"79",79,56,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,259.51,1,1,1,1
"80",80,45,0,0,0,1,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,241.28,1,1,1,1
"81",81,21,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,147.11,1,1,0,1
"82",82,35,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,393.65,1,1,0,1
"83",83,61,0,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,347.11,1,1,1,1
"84",84,60,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,337.39,0,1,0,0
"85",85,63,0,0,0,1,0,0,0,"C",0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,183.66,1,1,0,1
"86",86,55,0,0,0,1,0,0,0,"B",0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,206.32,1,1,0,1
"87",87,33,0,0,0,0,0,0,1,"C",0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"88",88,35,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,393.65,1,1,0,1
"89",89,44,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,105.33,1,1,1,1
"90",90,74,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,368.54,1,1,1,1
"91",91,53,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,147.25,1,1,1,1
"92",92,25,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,97.53,1,1,1,1
"93",93,67,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,146.97,1,1,1,1
"94",94,33,0,0,0,1,0,0,0,"C",0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,224.27,1,1,0,1
"95",95,72,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,162.25,1,1,1,1
"96",96,60,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,98.89,1,1,1,1
"97",97,60,0,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,118.54,1,1,1,1
"98",98,90,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,259.28,1,1,0,1
"99",99,59,1,0,0,1,0,0,0,"B",0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,241.28,1,1,1,1
"100",100,46,0,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,147.11,1,1,1,1
"101",101,81,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,318.54,1,1,0,1
"102",102,53,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,106.76,1,1,1,1
"103",103,33,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,166.12,1,1,0,1
"104",104,60,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,93.25,1,1,1,1
"105",105,57,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,129.65,1,1,1,1
"106",106,59,0,0,1,0,0,0,0,"B",0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,477.11,1,0,1,1
"107",107,57,1,0,0,1,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,237.99,1,1,1,1
"108",108,64,1,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,129.65,1,1,1,1
"109",109,52,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,147.11,1,1,0,1
"110",110,31,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,147.11,1,1,1,1
"111",111,28,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,122.58,1,1,1,1
"112",112,67,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,249.53,1,1,1,1
"113",113,68,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,225.65,1,1,1,1
"114",114,81,1,0,0,0,0,0,1,"B",0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,192.05,1,0,1,1
"115",115,57,3,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,332.83,1,1,1,1
"116",116,60,0,0,1,0,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,231.93,1,1,1,1
"117",117,71,1,0,0,1,0,0,0,"B",0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,408.24,1,1,1,1
"118",118,53,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,143.23,1,1,1,1
"119",119,58,0,0,0,0,0,1,0,"B",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,228.36,1,1,1,1
"120",120,33,0,0,0,0,1,0,0,"C",0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,162.15,1,1,0,1
"121",121,86,1,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,289.97,1,1,1,1
"122",122,44,1,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,166.12,1,1,1,1
"123",123,75,0,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,147.11,1,0,1,1
"124",124,47,0,1,0,0,0,0,0,"B",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,145.28,1,1,1,1
"125",125,80,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,662.9,1,0,1,1
"126",126,33,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,118.54,1,1,0,1
"127",127,58,0,0,1,0,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,214.23,1,1,1,1
"128",128,60,0,0,1,0,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,214.22,1,1,1,1
"129",129,33,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,147.11,1,1,0,1
"130",130,46,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,83.54,1,1,1,1
"131",131,49,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,180.28,1,1,1,1
"132",132,85,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,318.54,1,1,1,1
"133",133,33,0,0,1,0,0,0,0,"C",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,127.39,1,1,0,1
"134",134,48,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,201.22,1,1,1,1
"135",135,53,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,129.65,1,1,1,1
"136",136,33,0,0,1,0,0,0,0,"C",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,220.96,1,1,0,1
"137",137,51,0,0,0,0,0,1,0,"C",0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,173.97,1,1,0,1
"138",138,59,1,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,147.11,1,0,1,1
"139",139,53,2,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,516.4,1,1,1,1
"140",140,71,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,411.65,1,1,1,1
"141",141,33,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,375.54,1,1,1,1
"142",142,74,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,288.36,1,1,0,1
"143",143,33,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
"144",144,72,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,253.75,1,1,1,1
"145",145,65,1,0,0,1,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,241.28,1,1,1,1
"146",146,33,0,0,1,0,0,0,0,"C",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,142.76,1,1,0,1
"147",147,15,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"148",148,30,0,0,1,0,0,0,0,"C",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,226.88,1,1,0,1
"149",149,43,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,137.35,1,1,1,1
"150",150,63,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,93.25,1,1,1,1
"151",151,28,0,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,147.11,1,1,1,1
"152",152,49,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,249.65,1,1,0,1
"153",153,37,0,0,1,0,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,136.83,0,0,0,1
"154",154,65,2,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,151.13,1,1,1,1
"155",155,78,5,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,297.65,1,1,1,1
"156",156,33,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,175.68,1,1,0,1
"157",157,51,0,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,132.83,1,1,1,1
"158",158,44,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,142.35,1,1,1,1
"159",159,36,0,0,0,1,0,0,0,"B",0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,237.99,1,1,1,1
"160",160,41,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,177.93,1,1,1,1
"161",161,21,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,165.65,1,1,0,1
"162",162,65,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,160.53,1,1,1,1
"163",163,31,0,0,0,0,0,1,0,"B",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,236.51,1,1,1,1
"164",164,78,0,0,0,0,0,0,1,"B",0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,347.11,1,1,1,1
"165",165,60,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,191.6,1,1,1,1
"166",166,33,0,0,0,0,0,0,1,"C",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,490.45,1,1,0,1
"167",167,58,1,0,0,0,0,1,0,"C",0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
"168",168,53,0,0,0,1,0,0,0,"B",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,66.9,1,1,1,1
"169",169,55,1,0,0,0,0,1,0,"B",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,228.36,1,1,1,1
"170",170,45,0,0,0,0,0,1,0,"B",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,236.51,1,1,1,1
"171",171,33,0,0,0,0,0,0,1,"C",0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,289.97,1,1,1,1
"172",172,45,1,0,1,0,0,0,0,"B",0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,252.08,1,1,1,1
"173",173,92,4,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,207.65,1,0,1,1
"174",174,33,0,0,0,0,1,0,0,"C",0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,264.01,1,1,0,1
"175",175,59,0,0,0,0,0,0,1,"B",0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,105.65,1,1,1,1
